Date,Speed (cup_ 130 m),Ti (cup_ 130 m),Direction (Vane_ 130 m),Speed (cup_ 122 m),Ti (cup_ 122 m),Direction (Vane_ 122 m),Speed (cup_ 105 m),Ti (cup_ 105 m),Direction (Vane_ 105 m),Speed (cup_ 87 m),Ti (cup_ 87 m),Direction (Vane_ 87 m),Speed (cup_ 80 m),Ti (cup_ 80 m),Direction (Vane_ 80 m),Speed (cup_ 55 m),Ti (cup_ 55 m),Direction (Vane_ 55 m),Speed (cup_ 38 m),Ti (cup_ 38 m),Direction (Vane_ 38 m),Speed (cup_ 30 m),Ti (cup_ 30 m),Direction (Vane_ 30 m),Speed (cup_ 10 m),Ti (cup_ 10 m),Direction (Vane_ 10 m),Speed (cup_ 3 m),Ti (cup_ 3 m),Direction (Vane_ 3 m),Air Density (3 m),Air Pressure (3 m),Air Temperature (3 m),Relative Humidity (3 m),Air Density (38 m),Air Pressure (38 m),Air Temperature (38 m),Relative Humidity (38 m),Air Density (87 m),Air Pressure (87 m),Air Temperature (87 m),Relative Humidity (87 m),Air Density (122 m),Air Pressure (122 m),Air Temperature (122 m),Relative Humidity (122 m),Gradient Richardson (38_ 87_ 122 m),Gradient Richardson (3_ 10_ 38_ 87_ 122 m),Gradient Richardson (3_ 10_ 38_ 87 m),Gradient Richardson (10_ 38 m),Wind Shear (38_ 122 m),Wind Veer (38_ 122 m),Wind Shear (3_ 122 m),Wind Veer (3_ 122 m),Wind Shear (3_ 87 m),Wind Veer (3_ 87 m),Wind Shear (38_ 87 m),Wind Veer (38_ 87 m),Wind Shear (10_ 87 m),Wind Veer (10_ 87 m),Wind Shear (87_ 38_ 10_ 3 m),Wind Veer (87_ 38_ 10_ 3 m),Wind Shear (130_ 105_ 80_ 55_ 30 m),Wind Veer (130_ 105_ 80_ 55_ 30 m),Air temperature (sonic_119m),Speed (sonic_119m),Cup Equivalent Ti (sonic_119m),Direction (sonic_119m),Integral Length Scale (u) (119m),Integral Length Scale (v) (119m),Integral Length Scale (w) (119m),Turbulent Kinetic Energy (119m),Coherent TKE (119m),Dissipation rate (Direct_ 119m),Monin-Obukhov Length (119m),Stability parameter z/L (119m),Air temperature (sonic_100m),Speed (sonic_100m),Cup Equivalent Ti (sonic_100m),Direction (sonic_100m),Integral Length Scale (u) (100m),Integral Length Scale (v) (100m),Integral Length Scale (w) (100m),Turbulent Kinetic Energy (100m),Coherent TKE (100m),Dissipation rate (Direct_ 100m),Monin-Obukhov Length (100m),Stability parameter z/L (100m),Air temperature (sonic_74m),Speed (sonic_74m),Cup Equivalent Ti (sonic_74m),Direction (sonic_74m),Integral Length Scale (u) (74m),Integral Length Scale (v) (74m),Integral Length Scale (w) (74m),Turbulent Kinetic Energy (74m),Coherent TKE (74m),Dissipation rate (Direct_ 74m),Monin-Obukhov Length (74m),Stability parameter z/L (74m),Air temperature (sonic_61m),Speed (sonic_61m),Cup Equivalent Ti (sonic_61m),Direction (sonic_61m),Integral Length Scale (u) (61m),Integral Length Scale (v) (61m),Integral Length Scale (w) (61m),Turbulent Kinetic Energy (61m),Coherent TKE (61m),Dissipation rate (Direct_ 61m),Monin-Obukhov Length (61m),Stability parameter z/L (61m),Air temperature (sonic_41m),Speed (sonic_41m),Cup Equivalent Ti (sonic_41m),Direction (sonic_41m),Integral Length Scale (u) (41m),Integral Length Scale (v) (41m),Integral Length Scale (w) (41m),Turbulent Kinetic Energy (41m),Coherent TKE (41m),Dissipation rate (Direct_ 41m),Monin-Obukhov Length (41m),Stability parameter z/L (41m),Air temperature (sonic_15m),Speed (sonic_15m),Cup Equivalent Ti (sonic_15m),Direction (sonic_15m),Integral Length Scale (u) (15m),Integral Length Scale (v) (15m),Integral Length Scale (w) (15m),Turbulent Kinetic Energy (15m),Coherent TKE (15m),Dissipation rate (Direct_ 15m),Monin-Obukhov Length (15m),Stability parameter z/L (15m),Stability Flag (119m),Stability Flag (100m),Stability Flag (74m),Stability Flag (61m),Stability Flag (41m),Stability Flag (15m)
2012-10-01 00:00:00-06:00,3.4796980000000004,37.377167,,3.3372949999999997,39.883990000000004,36.645489000000005,3.078591,42.850989,,2.794088,39.621911,38.982044,2.677994,40.144197,,2.387347,37.417142999999996,,1.9477520000000001,31.999249,42.084275,1.873837,26.674887,,1.4367,41.529508,51.241267,0.9322959999999999,,60.951637,0.992603,821.9322139999999,15.521597000000042,44.357489,0.986007,818.540191,16.253072999999972,40.580211,0.980923,813.7913599999999,16.065406999999993,40.972157,0.977083,810.3993370000001,15.99183099999999,40.800822,0.9174059999999999,1.259842,1.2837120000000002,2.604674,0.46165,-0.064747,,-0.204253,,-0.26154299999999997,,-0.063311,,-0.159211,,-0.225071,,,15.355507000000001,3.189342,37.15163,38.440782,,,,,,,,,,,,,,,,,,,,,,,,,8e-06,6e-06,1e-06,0.901172,0.510286,2.6000000000000002e-05,-586.683439,-0.126133,16.85557,2.3558,41.668040000000005,44.419903000000005,,,,,,,,,,,,,,,,,,,,,,,,,-4e-06,5e-06,-2e-06,0.297367,0.29538000000000003,3.6e-05,-330.541623,-0.045380000000000004,,,Neutral,,,Unstable
2012-10-01 00:10:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.0,0.0,1.126843,0.4341,2.8999999999999997e-05,-1494.305121,-0.049520999999999996,16.513582999999997,1.8840130000000002,70.258904,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-0.0,0.6125970000000001,0.296267,8e-05,-61.982806999999994,-0.24200300000000002,,,Neutral,,,Very Unstable
2012-10-01 00:20:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2e-06,-0.0,0.0,0.3908,0.163543,6.6e-05,314.90827,0.23498899999999998,16.445066,0.9748829999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,2e-06,-3e-06,0.0,0.288647,0.095182,3.5e-05,42.722238,0.351105,,,Stable,,,Very Stable
2012-10-01 00:30:00-06:00,1.6664709999999998,38.4554,,1.659085,43.97821,347.704069,1.814125,27.481546,,1.9461700000000002,16.641702,332.635685,1.9373040000000001,15.126604,,2.041067,15.85186,,1.860854,19.010424,306.273924,1.8957849999999998,21.107284,,1.549647,48.4416,283.88099,0.931534,,286.328313,0.9984719999999999,822.063733,13.871691999999996,53.998111,0.987058,818.6527990000001,15.985053999999991,41.69911,0.982548,813.877493,15.618088999999998,42.55173,0.9790719999999999,810.466559,15.42870899999997,42.697143,0.6088600000000001,4.580307,4.3319160000000005,,,,,,,0.5512779999999999,,0.537995,,0.633178,,0.587229,,,14.943979,1.592753,36.84701,347.28256400000004,,,,,,,,,,,,,,,,,,,,,,,,,-0.0,0.0,-0.0,0.489279,0.24891100000000002,2.6000000000000002e-05,,-0.013883000000000001,16.537879,1.8653060000000001,16.74729,324.099529,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.23827800000000002,0.107099,3.8e-05,-84.86289599999999,-0.176756,,,Neutral,,,Very Unstable
2012-10-01 00:40:00-06:00,2.327337,16.14225,,2.277301,16.289051,12.421771000000001,2.1063099999999997,17.252067,,2.042799,21.778806,5.078216,1.967887,23.916226,,1.9447279999999998,28.84736,,1.892636,33.954976,338.190791,2.085584,33.417533,,1.740673,42.597007,307.11120800000003,1.177768,57.007664,304.860976,0.9971700000000001,822.137376,14.27187200000003,52.83221999999999,0.987302,818.730943,15.941224999999974,41.819175,0.9829899999999999,813.961937,15.518195999999989,43.066843,0.979758,810.555504,15.258524000000023,43.554590000000005,0.342792,1.9938349999999998,2.14614,1.8188490000000002,0.15862,,,,,0.7168720000000001,,0.548723,,0.752818,,0.739034,,,14.778532,1.998864,18.436151000000002,14.04031,,,,,,,,,,,,,,,,,,,,,,,,,4e-06,1e-06,2e-06,0.6071979999999999,0.301323,3.8e-05,-261.534712,-0.282945,16.462587,1.706904,30.937659999999997,357.523151,,,,,,,,,,,,,,,,,,,,,,,,,1e-06,-2e-06,2e-06,0.46028100000000005,0.288008,3.7e-05,-307.943227,-0.04871,,,Unstable,,,Unstable
2012-10-01 00:50:00-06:00,3.32018,28.972095,,3.044337,29.686451,356.902621,3.018031,31.992997999999996,,3.055186,26.822871000000003,353.406848,3.035687,25.996074,,2.93308,25.167906,,2.800401,20.26772,340.465687,2.929319,15.507059,,2.3767240000000003,15.983894,312.43462,1.7170459999999999,24.788476,308.803847,0.99708,822.221363,14.327224999999999,52.200790000000005,0.9879959999999999,818.815125,15.767733999999962,42.454075,0.9834360000000001,814.046392,15.417272000000025,43.370065999999994,0.980141,810.640154,15.175835000000006,43.473183,0.9011809999999999,1.448513,1.1517819999999999,0.8215600000000001,0.071603,0.195678,,0.40419099999999997,,0.530988,,0.26410500000000003,,0.532107,,0.541967,,,14.720642999999999,3.24825,30.770177,358.015836,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.0,-0.0,0.5873229999999999,0.292175,4.5e-05,42.118109999999994,1.756964,16.302529999999997,2.915918,27.116163,350.34265,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.0,-0.0,0.299001,0.21977800000000003,5.3e-05,75.787728,0.197921,,,Very Stable,,,Very Stable
2012-10-01 01:00:00-06:00,3.149377,19.836973,,3.127974,21.648576000000002,358.319989,2.949017,19.583505,,2.878964,21.185256,354.895453,2.863469,21.524559,,2.879123,25.592853,,2.917895,23.588142,336.290776,3.095496,20.864592000000002,,2.602795,21.685693,310.460561,1.9227490000000003,27.412158,308.594797,0.9963059999999999,822.355061,14.597302000000013,49.484806,0.988592,818.951,15.641481999999996,42.69692,0.984029,814.1853150000001,15.29244,43.69793,0.980607,810.781254,15.089012000000025,43.636365999999995,0.614941,1.137627,0.998801,,,0.262253,,0.41785900000000004,,0.551198,,0.379687,,0.5770770000000001,,0.569138,,,14.611460000000001,3.145438,20.20496,359.254295,,,,,,,,,,,,,,,,,,,,,,,,,-6.3e-05,0.0,1e-06,0.571785,0.305573,3.3e-05,131.764768,0.561607,16.219656,2.821654,26.558417,350.322571,,,,,,,,,,,,,,,,,,,,,,,,,-5e-06,5e-06,-2e-06,0.543129,0.281352,3.8e-05,136.901895,0.10956800000000001,,,Very Stable,,,Very Stable
2012-10-01 01:10:00-06:00,5.462032,12.077599000000001,,5.308699,10.809462,351.430212,4.829329,14.009217999999999,,5.276054,11.259427,346.86041800000004,5.383184,12.085469,,5.181446,13.831331,,4.857036,14.081907999999999,338.330832,4.812,13.826301,,3.538736,16.710034,323.6192,2.7461849999999997,19.160848,319.641479,0.998136,822.5730639999999,14.145925999999974,51.400678000000006,0.990351,819.162857,15.203416000000004,44.907327,0.985649,814.388567,14.890532000000007,46.008709,0.982176,810.97836,14.698841000000016,45.803036,0.618572,0.664445,0.511418,0.371143,0.076231,0.155945,,0.26713200000000004,,0.324035,,0.174073,,0.301834,,0.320329,,,14.239604,5.728917,10.889453,352.262687,,,,,,,,,,,,,,,,,,,,,,,,,-0.0,5e-06,-3e-06,0.570742,0.335093,2.1e-05,15.245705,4.853826000000001,15.756920000000001,5.32032,14.251504999999998,346.18024199999996,,,,,,,,,,,,,,,,,,,,,,,,,3e-06,-3e-06,-0.0,0.549848,0.348219,8.7e-05,47.841319,0.313537,,,Very Stable,,,Very Stable
2012-10-01 01:20:00-06:00,5.974349,9.65833,,5.758614,10.028001,349.216568,5.181921,12.902706,,5.49415,7.68995,345.83895099999995,5.562409,7.5254460000000005,,5.26816,7.766711,,4.693376,9.467564,341.29161,4.541867,16.057271,,3.267896,20.910694,332.299458,2.711974,21.08286,332.77925600000003,0.997108,822.651576,14.469575999999961,49.245726,0.991351,819.244604,14.94134600000001,45.564303,0.9864950000000001,814.474843,14.674135000000035,46.557165999999995,0.983035,811.06787,14.479261000000008,46.449559,0.663449,0.45775,0.361269,0.24914099999999997,0.175359,0.094345,,0.138129,,0.155473,,0.092803,,0.17583800000000002,,0.166747,,,14.012120000000001,6.1324440000000005,10.467044,350.079036,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.0,0.0,0.46643,0.239445,2e-05,6.421233999999999,11.524265,15.609710999999999,5.394241,7.6787589999999994,346.491431,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.0,0.0,0.80242,0.470996,0.00011899999999999999,101.711763,0.147476,,,Very Stable,,,Very Stable
2012-10-01 01:30:00-06:00,6.470206,10.399638000000001,,6.267958999999999,9.846836999999999,343.848212,5.541009,13.054231,,5.68882,10.29529,340.15644199999997,5.729575,11.092139,,5.477301000000001,8.655403,,4.955181,8.636307,334.096471,4.732595,11.668961,,3.092546,22.46923,325.271006,2.454459,23.98997,326.109289,0.997967,822.68424,14.233641999999975,50.566734000000004,0.9919290000000001,819.274475,14.784287000000006,46.478722999999995,0.987093,814.500804,14.508991999999978,47.537380999999996,0.983524,811.0910389999999,14.344460000000026,47.214071000000004,0.452892,0.337845,0.285999,0.171915,0.201483,0.116092,,0.149067,,0.167228,,0.123673,,0.19331700000000002,,0.180227,,,13.875086999999999,6.690727000000001,10.242177,344.946024,,,,,,,,,,,,,,,,,,,,,,,,,-4e-06,2.6000000000000002e-05,2e-05,0.398565,0.226228,2.1e-05,5.023293,14.731373000000001,15.372885,5.687965,8.892828999999999,340.11512,,,,,,,,,,,,,,,,,,,,,,,,,-3e-06,1.4999999999999999e-05,3e-06,0.7760729999999999,0.46757299999999996,0.000122,101.101715,0.148365,,,Very Stable,,,Very Stable
