Date,Speed (cup_ 130 m),Ti (cup_ 130 m),Speed (cup_ 122 m),Ti (cup_ 122 m),Direction (Vane_ 122 m),Speed (cup_ 105 m),Ti (cup_ 105 m),Speed (cup_ 87 m),Ti (cup_ 87 m),Direction (Vane_ 87 m),Speed (cup_ 80 m),Ti (cup_ 80 m),Speed (cup_ 55 m),Ti (cup_ 55 m),Speed (cup_ 38 m),Ti (cup_ 38 m),Direction (Vane_ 38 m),Speed (cup_ 30 m),Ti (cup_ 30 m),Speed (cup_ 10 m),Ti (cup_ 10 m),Direction (Vane_ 10 m),Speed (cup_ 3 m),Ti (cup_ 3 m),Direction (Vane_ 3 m),Air Density (3 m),Air Pressure (3 m),Air Temperature (3 m),Relative Humidity (3 m),Air Density (38 m),Air Pressure (38 m),Air Temperature (38 m),Relative Humidity (38 m),Air Density (87 m),Air Pressure (87 m),Air Temperature (87 m),Relative Humidity (87 m),Air Density (122 m),Air Pressure (122 m),Air Temperature (122 m),Relative Humidity (122 m),Gradient Richardson (38_ 87_ 122 m),Gradient Richardson (3_ 10_ 38_ 87_ 122 m),Gradient Richardson (3_ 10_ 38_ 87 m),Gradient Richardson (10_ 38 m),Wind Shear (38_ 122 m),Wind Veer (38_ 122 m),Wind Shear (3_ 122 m),Wind Veer (3_ 122 m),Wind Shear (3_ 87 m),Wind Veer (3_ 87 m),Wind Shear (38_ 87 m),Wind Veer (38_ 87 m),Wind Shear (10_ 87 m),Wind Veer (10_ 87 m),Wind Shear (87_ 38_ 10_ 3 m),Wind Veer (87_ 38_ 10_ 3 m),Wind Shear (130_ 105_ 80_ 55_ 30 m),Air temperature (sonic_119m),Speed (sonic_119m),Direction (sonic_119m),Turbulent Kinetic Energy (119m),Coherent TKE (119m),Monin-Obukhov Length (119m),Stability parameter z/L (119m),Air temperature (sonic_100m),Speed (sonic_100m),Direction (sonic_100m),Turbulent Kinetic Energy (100m),Coherent TKE (100m),Monin-Obukhov Length (100m),Stability parameter z/L (100m),Air temperature (sonic_74m),Speed (sonic_74m),Direction (sonic_74m),Turbulent Kinetic Energy (74m),Coherent TKE (74m),Monin-Obukhov Length (74m),Stability parameter z/L (74m),Air temperature (sonic_61m),Speed (sonic_61m),Direction (sonic_61m),Turbulent Kinetic Energy (61m),Coherent TKE (61m),Monin-Obukhov Length (61m),Stability parameter z/L (61m),Air temperature (sonic_41m),Speed (sonic_41m),Direction (sonic_41m),Turbulent Kinetic Energy (41m),Coherent TKE (41m),Monin-Obukhov Length (41m),Stability parameter z/L (41m),Air temperature (sonic_15m),Speed (sonic_15m),Direction (sonic_15m),Turbulent Kinetic Energy (15m),Coherent TKE (15m),Monin-Obukhov Length (15m),Stability parameter z/L (15m),Stability Flag (119m),Stability Flag (100m),Stability Flag (74m),Stability Flag (61m),Stability Flag (41m),Stability Flag (15m)
2015-11-06 09:40:00-07:00,0.949525,,0.91384,,76.022616,0.9747809999999999,,0.603518,,114.77927199999999,0.945642,,1.2544540000000002,41.110914,1.513464,46.618411,143.19030700000002,1.577202,30.205915,1.695931,21.888485,156.27905800000002,1.502604,32.880513,157.208685,1.030352,815.2722190000001,2.6989379999999983,65.07808100000001,1.028935,,1.8847370000000296,,,,,,,,,,,,,,,,,,,-0.505112,,-0.579817,,-0.538958,,-0.5168159999999999,,2.6570150000000003,0.44765600000000005,87.632848,0.869125,0.5100939999999999,-44.694096,-2.662544,0.69802,0.6757989999999999,112.74378,0.6322760000000001,,,-2.0589459999999997,3.417217,0.696328,134.00696200000002,0.466797,,,-2.6280240000000004,2.1083979999999998,0.973405,137.862922,0.555739,,,-2.135327,3.343386,1.332431,143.303887,0.5740770000000001,,,-4.635216000000001,1.8334,1.58954,152.631202,0.431075,,,-0.8569209999999999,Very Unstable,,,,,
2015-11-06 09:50:00-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-06 10:00:00-07:00,2.287744,28.625265999999996,2.3108150000000003,22.758907999999998,97.970391,2.355346,22.669107,2.3546270000000002,24.957468,102.306963,2.5229790000000003,22.304192,2.562035,24.46911,2.508411,25.656437,97.39810899999999,2.5762810000000003,25.07041,2.4937720000000003,27.486781,91.351129,2.1465509999999997,28.166789,86.584859,1.0279340000000001,815.275203,3.3484730000000127,62.716922,1.0275940000000001,,2.2473770000000286,,,,,,,,,,,,,,,,,,,0.187168,,0.10018099999999999,,0.142284,,0.171172,,3.3511279999999997,2.483272,102.392999,0.606128,0.35791799999999996,-8.930189,-13.325586,1.369723,2.496901,102.739349,0.603984,,,-3.6885160000000003,4.185576,2.357525,102.011376,0.58522,,,-2.517476,2.938603,2.33395,99.292346,0.681326,,,-1.028084,4.179522,2.411845,99.23058,0.668427,,,-3.517519,2.706091,2.409009,92.518446,0.728546,,,-0.47426,Very Unstable,,,,,
2015-11-06 10:10:00-07:00,2.963914,26.458605,3.080803,26.440781,100.274466,3.1446509999999996,27.834881,3.7352300000000005,32.129766,107.367106,3.3150779999999997,23.483970000000003,3.209562,24.0214,3.25565,34.919212,104.101887,2.975654,33.936095,2.8965970000000003,36.570997,102.20994300000001,2.353144,41.789149,100.26893299999999,1.027516,815.2603190000001,3.45599100000004,62.229378000000004,1.027492,,2.269948999999997,,,,,,,,,,,,,,,,,,,0.084502,,0.066637,,0.066976,,0.077623,,3.2961739999999997,3.2826410000000004,105.140045,1.18384,0.702073,-12.070260000000001,-9.858941999999999,1.376083,3.506354,107.081965,1.384918,,,-2.9146349999999996,4.233499,3.4131169999999997,107.611508,1.194892,,,-6.150052,2.926149,3.3025860000000002,105.71268400000001,1.320244,,,-5.987430000000001,4.172555,2.984069,105.942206,1.369157,,,-2.38287,2.868159,2.687498,99.91282700000001,1.344379,,,-0.743012,Very Unstable,,,,,
2015-11-06 10:20:00-07:00,2.579229,26.7751,2.493963,29.880721,105.238849,2.61872,29.307465000000004,2.832733,27.666607,103.936713,2.9088119999999997,26.367571999999996,2.770406,24.798610999999998,2.976573,30.176166,106.19237700000001,2.7218009999999997,28.614998999999997,2.8070939999999998,34.341409999999996,108.6697,2.263547,41.899302,106.827909,1.0269709999999999,815.3324660000001,3.627116000000001,61.176411,1.027082,,2.4051149999999666,,,,,,,,,,,,,,,,,,,-0.034419,,-0.046034,,-0.061466999999999994,,-0.045663,,3.5434959999999998,2.763317,107.381495,0.782367,0.46010500000000004,-5.071956,-23.462347,1.5738729999999999,2.85048,106.25416499999999,0.688337,,,-6.056035,4.40175,2.726362,105.95199,0.585525,,,-6.093138,3.0386349999999998,2.8915889999999997,106.67541399999999,0.658542,,,-1.945728,4.410744,2.7246479999999997,106.71906200000001,0.668038,,,-5.5142370000000005,3.050561,2.8630169999999997,107.20922,0.8177369999999999,,,-0.5793159999999999,Very Unstable,,,,,
2015-11-06 10:30:00-07:00,2.032419,38.181883,2.276551,31.707864,134.92191200000002,2.144831,33.14526,2.579752,30.000351000000002,135.248418,2.546764,27.96378,2.5834759999999997,30.053275,2.6244549999999998,40.41993,137.336159,2.531936,44.837708,2.0635830000000004,60.411653,139.321309,1.7326279999999998,63.477376,134.67938700000002,1.025665,815.1775700000001,3.9267730000000256,59.611054,1.026052,,2.6303709999999683,,,,,,,,,,,,,,,,,,,0.006774,,-0.042607,,-0.052895000000000005,,-0.017096,,3.560407,2.0681220000000002,136.349548,1.0956700000000001,0.613051,-7.764003,-15.327144,1.601114,2.244973,137.135085,1.085576,,,-2.143908,4.339129,2.4056900000000003,138.302006,0.975289,,,-1.7908240000000002,3.034894,2.547152,138.89760900000002,0.96054,,,-0.744138,4.297228,2.466096,137.30033,1.046931,,,-0.967675,2.808801,1.9894189999999998,137.133313,1.167818,,,-0.473757,Very Unstable,,,,,
2015-11-06 10:40:00-07:00,1.49837,43.578519,1.624984,41.283885,276.22628199999997,1.448648,46.992129999999996,1.325405,67.00620500000001,287.558181,1.493257,51.312343,1.6743689999999998,37.349567,1.636098,36.814809000000004,251.374348,1.423953,38.167043,1.362184,36.101495,207.63518200000001,1.123186,56.45959499999999,224.861448,1.022542,815.1613570000001,4.766977999999995,54.614380000000004,1.022329,,3.632035999999971,,,,,,,,,,,,,,,,,,,0.74639,,0.738446,,1.0379610000000001,,0.8728309999999999,,4.3400739999999995,0.594146,277.556685,1.6163239999999999,0.820203,-210.857219,-0.5643630000000001,2.450561,0.657301,281.202243,1.552129,,,-0.470775,5.261438,0.7286100000000001,275.750739,1.513079,,,-0.8673870000000001,4.039883000000001,0.700328,258.725552,1.8038299999999998,,,-2.0572169999999996,5.403085,0.36745500000000003,249.70599500000003,1.564581,,,-1.800703,3.986669,0.636761,208.067036,1.0357100000000001,,,-0.873001,Unstable,,,,,
2015-11-06 10:50:00-07:00,2.870375,31.073019,2.824894,30.228309000000003,245.774248,2.881758,27.696664000000002,2.672507,22.417372,243.244548,2.830641,22.278412,2.71956,27.311916999999998,2.634867,29.365198,227.051381,2.5792610000000002,35.490483000000005,2.386272,31.994018,223.603534,2.032608,37.806971999999995,220.18946499999998,1.022114,814.951467,4.811624999999992,48.794039,1.02156,,3.768920000000037,,,,,,,,,,,,,,,,,,,0.274465,,0.330473,,0.255078,,0.263876,,4.411605000000001,2.696542,250.29480299999997,1.269766,0.79597,-7.591336999999999,-15.675763,2.468423,2.646138,247.092503,1.013241,,,-6.252788,5.211883,2.520111,238.624034,1.031688,,,-4.116825,4.013062000000001,2.539618,235.644625,1.123472,,,-2.010183,5.386144,2.380248,230.62209199999998,1.240673,,,-0.745081,4.032069,2.341356,221.452813,1.085117,,,-0.361561,Very Unstable,,,,,
2015-11-06 11:00:00-07:00,3.975108,20.791042,3.976871,20.260654000000002,269.226135,4.28934,16.704649,4.208963,14.748757999999999,273.40723399999996,4.4862400000000004,14.406585999999999,4.186593,16.174517,3.759642,22.137017,273.834142,3.8170620000000004,20.3971,3.4761050000000004,20.873752,275.926703,2.438796,27.405501,275.55043900000004,1.020607,815.114178,5.277364000000034,47.278040999999995,1.021648,,3.8025350000000344,,,,,,,,,,,,,,,,,,,-0.025514,,-0.008712000000000001,,-0.03272,,-0.029292000000000002,,4.441454,3.9868330000000003,273.544369,0.8786879999999999,0.529536,-51.900851,-2.2928330000000003,2.501227,4.187833,274.766984,0.80174,,,-2.0517790000000002,5.236446,4.136983,274.31466800000004,0.729409,,,-1.6445470000000002,4.000716000000001,4.129752,274.112487,0.736031,,,-1.16393,5.306879,3.7511160000000006,276.560976,0.924114,,,-0.7570899999999999,3.934884,3.418476,277.37862,0.781723,,,-0.760836,Very Unstable,,,,,
2015-11-06 11:10:00-07:00,4.092053,36.231154,4.055281,36.620224,235.67404100000002,3.977082,37.564535,3.796651,37.214376,241.30874300000002,3.996895,33.902609000000005,3.7485559999999998,36.438561,3.619599,31.912194,248.39635,3.618489,32.473378000000004,3.3059489999999996,32.095202,251.678279,2.616091,39.03958,250.657917,1.020508,815.141902,5.3138589999999795,47.296329,1.02135,,3.892710999999963,,,,,,,,,,,,,,,,,,,-0.1113,,-0.144645,,-0.134669,,-0.120098,,4.553838,3.6714550000000004,239.89665899999997,2.941961,1.725114,-180.64152099999998,-0.658763,2.618229,3.57504,241.24552000000003,2.791584,,,-0.474458,5.368787,3.546046,244.987576,2.5705869999999997,,,-0.431857,4.1057559999999995,3.4124809999999997,248.188591,2.742146,,,-0.40724499999999997,5.419812,3.288988,250.665519,2.428311,,,-0.35070100000000004,4.10124,3.123802,250.250795,1.8175169999999998,,,-0.705766,Very Unstable,,,,,
